State,Country,FIPS,MR_2014,LAND_AREA,URBANIZED_AREA_POP_CEN_2010,URBAN_CLUSTER_POP_CEN_2010,RURAL_POP_CEN_2010,Tot_Population_CEN_2010,Tot_Population_ACS_10_14,Males_CEN_2010,Males_ACS_10_14,Females_CEN_2010,Females_ACS_10_14,Pop_under_5_CEN_2010,Pop_5_17_CEN_2010,Pop_18_24_CEN_2010,Pop_25_44_CEN_2010,Pop_45_64_CEN_2010,Pop_65plus_CEN_2010,Tot_GQ_CEN_2010,Inst_GQ_CEN_2010,Non_Inst_GQ_CEN_2010,Hispanic_CEN_2010,NH_White_alone_CEN_2010,NH_Blk_alone_CEN_2010,NH_AIAN_alone_CEN_2010,NH_Asian_alone_CEN_2010,NH_NHOPI_alone_CEN_2010,NH_SOR_alone_CEN_2010,Pop_5yrs_Over_ACS_10_14,Othr_Lang_ACSMOE_10_14,Not_HS_Grad_ACS_10_14,College_ACS_10_14,Pov_Univ_ACS_10_14,Prs_Blw_Pov_Lev_ACS_10_14,One_Health_Ins_ACS_10_14,Two_Plus_Health_Ins_ACS_10_14,No_Health_Ins_ACS_10_14,Diff_HU_1yr_Ago_ACS_10_14,ENG_VW_SPAN_ACS_10_14,ENG_VW_INDO_EURO_ACS_10_14,ENG_VW_API_ACS_10_14,ENG_VW_OTHER_ACS_10_14,ENG_VW_ACS_10_14,Rel_Family_HHD_ACS_10_14,MrdCple_Fmly_HHD_ACS_10_14,Not_MrdCple_HHD_ACS_10_14,Female_No_HB_ACS_10_14,NonFamily_HHD_ACS_10_14,Sngl_Prns_HHD_ACS_10_14,HHD_PPL_Und_18_ACS_10_14,Tot_Prns_in_HHD_ACS_10_14,Rel_Child_Under_6_ACS_10_14,HHD_Moved_in_ACS_10_14,PUB_ASST_INC_ACS_10_14,Med_HHD_Inc_BG_ACS_10_14,Med_HHD_Inc_TR_ACS_10_14,Aggregate_HH_INC_ACS_10_14,Tot_Housing_Units_ACS_10_14,Tot_Occp_Units_ACS_10_14,Tot_Vacant_Units_ACS_10_14,Renter_Occp_HU_ACS_10_14,Owner_Occp_HU_ACS_10_14,Single_Unit_ACS_10_14,MLT_U2_9_STRC_ACS_10_14,MLT_U10p_ACS_10_14,Mobile_Homes_ACS_10_14,Crowd_Occp_U_ACS_10_14,Occp_U_NO_PH_SRVC_ACS_10_14,No_Plumb_ACS_10_14,Recent_Built_HU_ACS_10_14,Med_House_Value_BG_ACS_10_14,Med_House_Value_TR_ACS_10_14,Aggr_House_Value_ACS_10_14
United States,country,0,793.48,12389733.31,828558045,132411976,286946657,1247916678,1265926934,613518280,622743126,634398398,643183808,81276671,218455318,120951380,327848205,333874926,165510178,32334244,17053317,15280927,142358125,868600538,160273209,6930329,43688325,1445022,2046666,1185958759,90842845,109217316,240641241,1233066856,190675678,878916120,197881109,168484387,189320884,9236964,2491471,3061068,727086,15516589,315815030,232796289,243529115,60961922,160510374,132122901,153624603,1232985013,66299446,117616029,NaN,NaN,NaN,3.43E+13,545804173,476325404,69478769,160639421,315685983,382472871,66861938,58485662,37590523,12363795,11735748,12897461,5460393,NaN,NaN,6.68E+13
Alabama,state,1,995.59,277338.612,21215389,4017223,9422029,34654641,35127005,17006932,17243979,17647709,17883026,2265761,6009406,3419462,9067060,9243792,4649160,952401,546708,405693,3044449,24232706,5756517,159589,830888,25477,44933,32893776,2195061,3221984,6316562,34124434,5715470,23930532,5619732,4926621,5390714,227622,40160,61906,16951,346639,8802694,6412763,6938193,1784070,4548262,3784784,4236378,34139623,1836050,3326986,NaN,NaN,NaN,9.02E+11,15421920,13350956,2070964,4468367,8882589,10917560,1743458,1495905,1254504,304005,338427,397305,160720,NaN,NaN,1.62E+12
Alabama,Autauga County,1001,989.16,594.437,31650,0,22921,54571,55136,26569,26774,28002,28362,3579,11034,4617,14730,14065,6546,455,362,93,1310,42154,9595,217,467,22,45,51721,1562,5012,7950,54712,7006,38508,9921,5814,8413,131,0,13,0,144,14272,11184,9120,2405,6032,5254,7369,54694,3169,4685,16.09375,51224.875,51355.1875,1307856800,22431,20304,2127,5056,15248,16154,1022,842,4401,530,463,817,679,120809.375,126756.25,2229571500
Alabama,Baldwin County,1003,836.66,1847.631,63649,71210,93126,227985,237059,111879,116069,116106,120990,13933,37316,22246,55198,63216,36076,6876,4515,2361,8911,176904,35832,1231,1920,97,300,223169,10647,19479,43237,230875,39533,156403,41667,34350,40955,537,135,123,70,865,60271,46437,42815,10537,28981,24633,24891,230778,10866,24641,12.864,45502.45968,44167.99194,5714243800,125773,89252,36521,28093,61159,78739,10359,19912,16480,1317,2536,2103,1704,155773.7705,152304.8387,11749317400
Alabama,Barbour County,1005,983.65,1225.933,0,11544,32502,44046,43842,22766,22692,21280,21150,2651,6966,4008,11335,12416,6670,3662,3322,340,1483,28842,12940,151,141,27,19,41362,1447,7177,3964,40444,9045,26059,8514,6245,6094,119,0,0,0,119,10275,7384,7940,2387,5049,4572,4670,40478,1841,2729,7.641025641,34441.25641,35187.48718,707073800,19689,15324,4365,4467,10857,13209,1517,363,4585,207,451,1009,216,92876.92308,91794.87179,1558246200
Alabama,Bibb County,1007,1094.1,872.351,133132,7252,38078,178462,177890,85587,85558,92875,92332,12843,32477,18480,45866,46201,22595,8275,5674,2601,4795,82685,85768,351,2514,81,235,165384,7516,20637,24866,169662,43217,115372,28275,29074,30707,529,124,118,9,780,41205,25341,38397,13065,22533,19591,20573,169664,9097,16823,12.23404255,36218.14894,35855.41844,3514466900,78918,63738,15180,27830,35908,54636,13244,6533,4501,1050,1848,2749,610,106983.4532,105463.1206,4972841300
Alabama,Blount County,1009,984.06,1203.481,83256,5374,91702,180332,182080,87921,88931,92411,93149,10465,31017,14564,45214,50863,28209,2516,1537,979,8067,164192,4038,650,978,43,144,171920,7318,19628,23708,179180,27492,123667,34536,22237,22706,635,30,73,25,763,49528,39566,30042,7254,20080,17621,22747,179511,8925,13421,13.77876106,47427.16216,46158.63964,4110558100,79409,69608,9801,17459,52149,59788,5152,2060,12370,988,1716,1379,556,148945.045,148633.3333,9134885400
Alabama,Bullock County,1011,1046.14,622.805,0,5307,5607,10914,10693,5912,5799,5002,4894,742,1688,994,2917,3104,1469,1690,1642,48,777,2392,7637,20,20,4,5,9986,379,2511,1026,10153,2085,6594,1777,1791,1522,0,18,0,0,18,2265,1050,2696,985,1481,1274,1111,10117,379,801,15.42857143,33079,36594.28571,164487200,4469,3746,723,1019,2727,2598,368,65,1438,122,288,324,165,78842.85714,78800,268424000
Alabama,Butler County,1013,1113.76,5748.158,382568,126458,208539,717565,721670,352173,354425,365392,367245,45883,129274,72175,176080,198183,95970,20587,8359,12228,20720,631016,40849,1676,11575,341,711,678032,26984,48970,127796,700133,90250,532373,113512,66981,99030,1501,424,781,144,2850,188119,146569,126476,29673,84926,69717,89619,700807,36541,58944,13.30544747,55473.09766,54374.62573,19518734500,300345,273045,27300,75753,197292,229733,29444,20534,20527,3561,5384,5302,2843,135747.7097,137651.5686,33403897800
Alabama,Calhoun County,1015,1128.17,5365.985,152276,36881,166152,355309,352845,174765,173655,180544,179190,22230,60843,33549,86134,98595,53958,11928,7199,4729,22611,263135,57187,1501,4129,166,291,331770,15195,40714,40367,341112,67528,227212,71652,46345,54066,1041,26,470,5,1542,91004,64486,71704,20077,45186,38878,42009,340271,17571,29735,11.68813559,42035.35052,40537.64605,7458997900,162969,136190,26779,39589,96601,120133,12750,9001,20910,2310,3464,5836,1051,93184.77509,93837.80069,11590758900
